Student_ID,Gender,Branch,Graduation_Year,Class_10_Percentage,Class_12_Percentage,CGPA,Active_Backlogs,Internship,Projects,Certifications,Placement_Status,Company,Job_Role,Package_LPA,Placement_Type,Placement_Season,Location
ENG0197,Male,Information Technology,2021,84.96,76.88,6.92,1,No,0,0,Not Placed,,,0,,,
ENG0198,Female,Mechanical Engineering,2023,87.35,92.63,7.64,1,Yes,0,2,Placed,Mahindra & Mahindra,Graduate Engineer Trainee,7.85,On-Campus,January,Pune
ENG0199,Male,Information Technology,2022,76.64,72.12,6.68,2,No,2,1,Not Placed,,,0,,,
ENG0200,Male,Mechanical Engineering,2024,82.41,84.26,7.82,0,Yes,2,1,Placed,Bosch,Graduate Engineer Trainee,9.33,Pool Campus,November,Kolkata
ENG0201,Female,Electrical Engineering,2021,77.01,77.26,5.86,2,No,0,0,Not Placed,,,0,,,
ENG0202,Female,Electrical Engineering,2025,77.79,70.97,6.54,1,Yes,1,1,Placed,Infosys,Software Engineer,4.65,On-Campus,October,Chennai
ENG0203,Male,Civil Engineering,2025,73,70.49,6.34,0,No,1,1,Placed,Shapoorji Pallonji,Graduate Engineer Trainee,10.66,On-Campus,January,Noida
ENG0204,Male,Mechanical Engineering,2022,92.13,98,8.32,0,Yes,6,1,Placed,Ashok Leyland,Graduate Engineer Trainee,9.32,On-Campus,March,Pune
ENG0205,Male,Computer Science & Engineering,2022,90.53,89.31,7.34,0,Yes,3,1,Placed,PhonePe,Business Analyst,14.21,On-Campus,October,Mumbai
ENG0206,Male,Computer Science & Engineering,2024,86.3,77.66,6.71,0,No,0,1,Not Placed,,,0,,,
ENG0207,Male,Electrical Engineering,2024,97.78,95.47,9.03,0,Yes,1,1,Placed,TCS,Software Engineer,6.74,On-Campus,October,Pune
ENG0208,Female,Electronics & Communication Engineering,2023,80.49,79.34,7.64,1,No,1,2,Not Placed,,,0,,,
ENG0209,Male,Information Technology,2022,99,98,7.33,1,No,0,0,Not Placed,,,0,,,
ENG0210,Male,Electronics & Communication Engineering,2021,80.18,82.13,7.81,0,Yes,3,3,Not Placed,,,0,,,
ENG0211,Female,Mechanical Engineering,2025,84.04,80.37,7.68,2,Yes,1,1,Placed,Infosys,Software Engineer,4.68,Off-Campus,October,Coimbatore
ENG0212,Male,Civil Engineering,2023,78.82,89.05,7.42,1,Yes,4,0,Placed,L&T,Graduate Engineer Trainee,12.24,On-Campus,December,Hyderabad
ENG0213,Male,Electrical Engineering,2025,84.98,70.85,6.41,0,No,2,0,Not Placed,,,0,,,
ENG0214,Female,Electronics & Communication Engineering,2023,88.68,87.17,8.24,0,Yes,1,2,Placed,Siemens,Graduate Engineer Trainee,8.08,On-Campus,January,Kolkata
ENG0215,Female,Information Technology,2025,81.09,94.78,7.69,0,Yes,2,1,Placed,Infosys,QA Engineer,7.08,On-Campus,August,Coimbatore
ENG0216,Female,Electronics & Communication Engineering,2021,96.21,91.35,7.29,0,No,2,1,Not Placed,,,0,,,
ENG0217,Male,Information Technology,2021,83.91,70.8,6.38,0,No,1,0,Not Placed,,,0,,,
ENG0218,Male,Electrical Engineering,2025,84.16,80.35,7.72,1,Yes,3,3,Placed,Wipro,Software Engineer,7.59,On-Campus,February,Noida
ENG0219,Female,Mechanical Engineering,2025,74.73,86.23,7.32,1,Yes,1,0,Placed,Tata Motors,Graduate Engineer Trainee,11.62,Off-Campus,March,Noida
ENG0220,Male,Computer Science & Engineering,2022,85.35,86.64,7.28,0,Yes,2,0,Placed,Capgemini,Software Engineer,5.16,On-Campus,October,Ahmedabad
ENG0221,Male,Computer Science & Engineering,2023,80.93,74.82,7.35,0,Yes,1,2,Placed,Capgemini,DevOps Engineer,5.95,Off-Campus,March,Delhi NCR
ENG0222,Male,Computer Science & Engineering,2023,77.13,73.05,7.6,0,No,6,3,Placed,Mu Sigma,Data Analyst,8.36,Pool Campus,September,Ahmedabad
ENG0223,Female,Architecture,2023,75.79,72.92,7.01,1,No,2,0,Placed,DLF,Graduate Engineer Trainee,11.86,Off-Campus,December,Bengaluru
ENG0224,Female,Electrical Engineering,2022,99,96.78,7.54,0,Yes,3,1,Placed,Schneider Electric,Graduate Engineer Trainee,11.37,On-Campus,October,Hyderabad
ENG0225,Male,Computer Science & Engineering,2025,79.89,89.29,7.96,0,Yes,2,1,Placed,Tiger Analytics,Data Analyst,10.26,Off-Campus,September,Delhi NCR
ENG0226,Female,Architecture,2022,70.34,80.13,6.55,0,Yes,2,0,Not Placed,,,0,,,
ENG0227,Male,Electronics & Communication Engineering,2024,76.41,80.5,6.62,0,No,0,0,Not Placed,,,0,,,
ENG0228,Male,Electronics & Communication Engineering,2021,81.59,71.87,6.67,0,No,3,0,Placed,Capgemini,Data Analyst,6.66,On-Campus,December,Pune
ENG0229,Female,Architecture,2021,86.37,75.48,5.97,2,No,0,1,Not Placed,,,0,,,
ENG0230,Male,Computer Science & Engineering,2024,86.44,88.56,8.56,0,Yes,3,2,Placed,Cognizant,DevOps Engineer,5.5,On-Campus,October,Delhi NCR
ENG0231,Male,Computer Science & Engineering,2023,87.41,76.14,6.82,1,No,5,2,Placed,Amazon,DevOps Engineer,24.3,On-Campus,September,Ahmedabad
ENG0232,Male,Electrical Engineering,2024,76.84,76.05,7.06,1,Yes,2,2,Not Placed,,,0,,,
ENG0233,Female,Computer Science & Engineering,2021,84.72,85.67,7.48,1,No,1,1,Placed,Wipro,Data Analyst,3.8,Off-Campus,September,Noida
ENG0234,Male,Mechanical Engineering,2025,74.99,68.28,5.72,2,Yes,1,0,Not Placed,,,0,,,
ENG0235,Female,Computer Science & Engineering,2024,77.04,70.61,5.07,0,No,1,0,Not Placed,,,0,,,
ENG0236,Female,Computer Science & Engineering,2025,74.66,75.33,7.28,0,No,0,3,Placed,Accenture,Software Engineer,7.36,On-Campus,December,Kolkata
ENG0237,Male,Computer Science & Engineering,2021,72.49,77.9,8.77,0,Yes,6,3,Placed,Deloitte,Data Engineer,8.12,On-Campus,December,Hyderabad
ENG0238,Female,Electronics & Communication Engineering,2022,90.51,95.32,9.1,0,Yes,5,3,Placed,Qualcomm,Electrical Engineer,9.88,On-Campus,March,Ahmedabad
ENG0239,Male,Computer Science & Engineering,2023,87.51,89.88,7.22,0,No,1,2,Not Placed,,,0,,,
ENG0240,Male,Computer Science & Engineering,2023,89.81,87.88,7.46,1,No,0,2,Placed,Infosys,QA Engineer,4.93,On-Campus,October,Noida
ENG0241,Female,Civil Engineering,2022,82.31,76.51,6.08,1,No,1,1,Not Placed,,,0,,,
ENG0242,Female,Information Technology,2021,88.21,78.66,8.62,0,Yes,8,2,Placed,Google,DevOps Engineer,26.15,On-Campus,November,Hyderabad
ENG0243,Male,Information Technology,2023,67.91,67.36,6.27,0,Yes,2,2,Placed,Wipro,DevOps Engineer,4.53,On-Campus,January,Chennai
ENG0244,Male,Computer Science & Engineering,2022,88.9,89.55,8.57,0,Yes,0,3,Placed,PhonePe,Data Engineer,16.35,On-Campus,September,Mumbai
ENG0245,Male,Information Technology,2023,83.42,84.92,8.19,0,Yes,2,1,Placed,Wipro,DevOps Engineer,5.51,On-Campus,December,Noida
ENG0246,Female,Information Technology,2022,87.02,70.56,5,3,Yes,3,0,Not Placed,,,0,,,
ENG0247,Male,Electrical Engineering,2022,85.04,78.28,6.38,1,No,0,0,Not Placed,,,0,,,
ENG0248,Male,Computer Science & Engineering,2024,74.1,84.01,7.19,1,No,0,0,Placed,Cognizant,QA Engineer,7.52,On-Campus,November,Pune
ENG0249,Male,Architecture,2023,70.02,73.07,6.94,0,Yes,5,2,Placed,DLF,Graduate Engineer Trainee,12.66,On-Campus,November,Bengaluru
ENG0250,Male,Architecture,2023,76.3,67.31,5.56,0,No,1,0,Not Placed,,,0,,,
ENG0251,Female,Computer Science & Engineering,2023,86.52,98,9.71,0,Yes,7,4,Placed,Google,QA Engineer,21.72,On-Campus,December,Coimbatore
ENG0252,Female,Computer Science & Engineering,2024,87.52,85.44,7.45,3,No,1,1,Not Placed,,,0,,,
ENG0253,Male,Computer Science & Engineering,2023,71.06,75.98,6.49,2,Yes,4,1,Placed,Wipro,Data Analyst,5.58,On-Campus,January,Coimbatore
ENG0254,Male,Electrical Engineering,2024,74.15,78.41,7.43,0,Yes,4,1,Placed,ABB,Electrical Engineer,9.21,Pool Campus,January,Bengaluru
ENG0255,Male,Computer Science & Engineering,2025,76.21,74.59,6.82,1,Yes,1,2,Placed,Cognizant,Software Engineer,8.18,On-Campus,December,Chennai
ENG0256,Female,Civil Engineering,2023,79.14,74.26,7.42,0,Yes,2,2,Placed,NBCC,Graduate Engineer Trainee,7.67,Pool Campus,January,Coimbatore
ENG0257,Female,Mechanical Engineering,2025,71.1,88.18,7.23,1,No,2,0,Placed,Tata Power,Mechanical Engineer,11.12,On-Campus,September,Mumbai
ENG0258,Male,Civil Engineering,2024,70.62,79.99,7.17,0,Yes,0,1,Placed,DLF,Graduate Engineer Trainee,6.06,Off-Campus,March,Pune
ENG0259,Male,Electronics & Communication Engineering,2021,75.43,82.32,7.89,0,Yes,1,2,Placed,Infosys,Software Engineer,7.57,On-Campus,December,Chennai
ENG0260,Male,Chemical Engineering,2023,82.69,86.05,7.31,2,Yes,4,2,Not Placed,,,0,,,
ENG0261,Male,Computer Science & Engineering,2024,72.56,67.39,6.45,1,No,0,2,Not Placed,,,0,,,
ENG0262,Female,Electronics & Communication Engineering,2025,81.07,89.75,8.37,0,Yes,2,4,Placed,Accenture,Business Analyst,6.06,Off-Campus,March,Chennai
ENG0263,Male,Information Technology,2023,90.47,81.95,7.7,0,Yes,5,2,Placed,Tiger Analytics,Data Analyst,15.32,On-Campus,September,Noida
ENG0264,Male,Chemical Engineering,2021,71.59,75.67,7.2,0,No,0,1,Not Placed,,,0,,,
ENG0265,Female,Electrical Engineering,2024,80.35,68.79,6.04,2,No,2,4,Not Placed,,,0,,,
ENG0266,Male,Civil Engineering,2021,90.2,73.36,6.17,2,No,2,2,Not Placed,,,0,,,
ENG0267,Male,Computer Science & Engineering,2024,78.65,81.22,7.23,0,No,0,1,Not Placed,,,0,,,
ENG0268,Male,Chemical Engineering,2023,77.41,72.39,7.27,0,Yes,4,0,Placed,Reliance Industries,Graduate Engineer Trainee,10.11,On-Campus,December,Noida
ENG0269,Male,Electronics & Communication Engineering,2024,91.31,74.56,6.28,0,No,2,0,Placed,Texas Instruments,Architect,8.71,Off-Campus,October,Coimbatore
ENG0270,Male,Electronics & Communication Engineering,2025,79.55,83.45,7.07,0,No,0,0,Placed,Schneider Electric,Graduate Engineer Trainee,6.66,Pool Campus,November,Kolkata
ENG0271,Male,Chemical Engineering,2024,90.84,98,7.9,0,No,2,0,Placed,Reliance Industries,Graduate Engineer Trainee,7.57,On-Campus,January,Delhi NCR
ENG0272,Male,Electronics & Communication Engineering,2024,85.43,93.8,7.43,0,No,0,0,Not Placed,,,0,,,
ENG0273,Male,Electronics & Communication Engineering,2024,79.26,77.64,6.34,0,No,1,4,Not Placed,,,0,,,
ENG0274,Male,Electrical Engineering,2025,85.84,84.44,7.34,2,No,0,0,Not Placed,,,0,,,
ENG0275,Female,Computer Science & Engineering,2025,84.56,89.64,7.17,0,No,1,0,Not Placed,,,0,,,
ENG0276,Male,Information Technology,2021,90.17,95.48,8.5,0,Yes,2,1,Placed,Wipro,DevOps Engineer,6.14,On-Campus,October,Kolkata
ENG0277,Male,Computer Science & Engineering,2024,77.61,75.81,6.06,0,No,0,0,Not Placed,,,0,,,
ENG0278,Male,Computer Science & Engineering,2022,82.33,81.99,7.28,0,No,1,1,Not Placed,,,0,,,
ENG0279,Female,Civil Engineering,2025,81.51,83.24,8.18,0,Yes,2,1,Placed,Tata Projects,Graduate Engineer Trainee,10.5,Off-Campus,December,Pune
ENG0280,Female,Electrical Engineering,2024,87.63,89.6,7.99,0,Yes,2,1,Placed,Tiger Analytics,Data Analyst,13.91,On-Campus,September,Coimbatore
ENG0281,Male,Information Technology,2023,73.8,74.42,6.66,1,No,2,0,Not Placed,,,0,,,
ENG0282,Male,Electronics & Communication Engineering,2022,90.14,86.76,8.19,1,Yes,0,1,Not Placed,,,0,,,
ENG0283,Male,Electronics & Communication Engineering,2023,85.73,93.96,7.78,0,Yes,2,1,Placed,Wipro,QA Engineer,6.7,On-Campus,February,Ahmedabad
ENG0284,Male,Electrical Engineering,2024,71.46,82.07,6.98,1,No,0,0,Not Placed,,,0,,,
ENG0285,Male,Architecture,2022,91.67,92.09,8.38,0,Yes,5,0,Placed,NBCC,Graduate Engineer Trainee,6.03,On-Campus,March,Coimbatore
ENG0286,Male,Architecture,2021,99,98,9.21,1,Yes,4,5,Placed,DLF,Graduate Engineer Trainee,6.95,On-Campus,January,Noida
ENG0287,Male,Electronics & Communication Engineering,2025,90.01,84.81,7.57,0,No,1,0,Placed,Infosys,QA Engineer,6.54,On-Campus,October,Noida
ENG0288,Male,Information Technology,2024,93.42,98,9.44,0,Yes,0,2,Placed,Wipro,Software Engineer,4.44,On-Campus,December,Chennai
ENG0289,Male,Electronics & Communication Engineering,2022,82.68,85.81,6.61,0,No,0,0,Not Placed,,,0,,,
ENG0290,Male,Electrical Engineering,2022,68.71,94.43,8.86,0,Yes,4,2,Placed,BHEL,Electrical Engineer,6.28,Off-Campus,March,Chennai
ENG0291,Female,Electronics & Communication Engineering,2025,67.25,62.09,6.32,0,Yes,3,0,Placed,Siemens,Mechanical Engineer,12.13,On-Campus,November,Kolkata
ENG0292,Male,Mechanical Engineering,2024,84.04,78.21,7.52,1,Yes,3,2,Placed,Bosch,Mechanical Engineer,8.74,On-Campus,January,Mumbai
ENG0293,Female,Electrical Engineering,2024,77.26,80.88,7.32,0,No,2,0,Placed,Infosys,Data Analyst,4.5,On-Campus,December,Mumbai
ENG0294,Male,Information Technology,2022,74.68,78.79,7.11,0,No,1,0,Not Placed,,,0,,,
ENG0295,Female,Information Technology,2022,81.5,94.77,8.45,0,No,1,0,Placed,Cognizant,Data Analyst,7.53,Off-Campus,January,Ahmedabad
ENG0296,Female,Electronics & Communication Engineering,2021,86.92,80.51,7.16,1,Yes,4,0,Not Placed,,,0,,,
ENG0297,Female,Computer Science & Engineering,2024,70.38,79.12,6.94,0,Yes,0,0,Placed,Adobe,QA Engineer,24.72,On-Campus,September,Pune
ENG0298,Female,Computer Science & Engineering,2021,78.41,86.94,8.09,1,Yes,2,6,Placed,EXL,Data Analyst,12.38,On-Campus,October,Ahmedabad
ENG0299,Female,Mechanical Engineering,2021,94.08,95.49,7.91,1,No,2,1,Placed,Tata Motors,Graduate Engineer Trainee,10.79,Pool Campus,February,Bengaluru
ENG0300,Female,Electronics & Communication Engineering,2024,73.4,68.32,6.06,0,No,2,1,Not Placed,,,0,,,
ENG0301,Female,Computer Science & Engineering,2025,88.96,96.57,9.95,0,Yes,2,1,Placed,Atlassian,Software Engineer,23.27,On-Campus,September,Noida
ENG0302,Male,Electrical Engineering,2024,78.12,87.2,7.38,0,Yes,3,0,Placed,Havells,Graduate Engineer Trainee,7.73,On-Campus,November,Mumbai
ENG0303,Male,Mechanical Engineering,2023,86.37,88.97,7.65,1,No,4,0,Placed,Tata Power,Graduate Engineer Trainee,6.98,Off-Campus,January,Pune
ENG0304,Male,Information Technology,2023,90.78,89.51,7.42,3,No,3,0,Not Placed,,,0,,,
ENG0305,Female,Civil Engineering,2023,87.93,87.53,7.43,1,No,0,2,Placed,Shapoorji Pallonji,Civil Engineer,9.77,Off-Campus,November,Delhi NCR
ENG0306,Male,Architecture,2022,89.27,86.4,6.96,0,Yes,1,0,Placed,L&T,Architect,5.7,Pool Campus,November,Bengaluru
ENG0307,Male,Electrical Engineering,2023,72.79,79.08,6.85,0,No,3,1,Not Placed,,,0,,,
ENG0308,Female,Mechanical Engineering,2023,90.91,88.4,8.58,1,Yes,0,2,Placed,Cognizant,Software Engineer,5.4,Off-Campus,December,Pune
ENG0309,Male,Computer Science & Engineering,2024,75.18,70.44,6.16,0,No,3,1,Not Placed,,,0,,,
ENG0310,Male,Chemical Engineering,2025,84.08,75.72,7.06,0,Yes,3,3,Placed,ONGC,Graduate Engineer Trainee,10.19,On-Campus,November,Noida
ENG0311,Male,Electronics & Communication Engineering,2025,84.07,77.79,7.83,0,Yes,5,3,Placed,Microsoft,QA Engineer,23.95,On-Campus,August,Pune
ENG0312,Male,Architecture,2021,85.88,85.97,8.64,0,Yes,5,1,Placed,L&T,Graduate Engineer Trainee,9.24,Pool Campus,January,Coimbatore
ENG0313,Male,Electrical Engineering,2023,84.7,83.33,7.93,0,No,2,0,Placed,Wipro,Software Engineer,6.53,On-Campus,January,Ahmedabad
ENG0314,Male,Computer Science & Engineering,2022,75.25,77.94,8.2,0,Yes,4,4,Placed,Atlassian,DevOps Engineer,23.97,On-Campus,October,Ahmedabad
ENG0315,Male,Computer Science & Engineering,2023,71.2,76.91,7.26,0,Yes,5,4,Placed,Deloitte,Business Analyst,8.04,On-Campus,December,Noida
ENG0316,Male,Mechanical Engineering,2022,88.98,82.34,8.14,0,Yes,4,0,Placed,Tata Power,Mechanical Engineer,11.41,On-Campus,March,Bengaluru
ENG0317,Male,Electrical Engineering,2022,83.49,92.87,7.82,0,No,1,1,Placed,Siemens,Electrical Engineer,6.64,Off-Campus,February,Bengaluru
ENG0318,Female,Computer Science & Engineering,2024,91.2,86.52,7.53,2,Yes,3,2,Not Placed,,,0,,,
ENG0319,Male,Mechanical Engineering,2023,81.64,78.2,7.95,0,Yes,3,2,Placed,Bosch,Mechanical Engineer,10.08,On-Campus,November,Delhi NCR
ENG0320,Female,Civil Engineering,2025,70.76,76.45,8.05,1,Yes,5,1,Placed,Shapoorji Pallonji,Graduate Engineer Trainee,5.61,On-Campus,October,Kolkata
ENG0321,Female,Electronics & Communication Engineering,2021,89.73,74.44,7.25,1,Yes,4,1,Placed,PhonePe,Data Analyst,12.76,On-Campus,August,Delhi NCR
ENG0322,Male,Electronics & Communication Engineering,2021,79.04,73.74,7.16,1,No,3,1,Placed,Accenture,Business Analyst,6.44,Pool Campus,October,Kolkata
ENG0323,Male,Computer Science & Engineering,2023,84.74,90.42,7.71,1,No,0,0,Not Placed,,,0,,,
ENG0324,Male,Civil Engineering,2021,76.82,65.45,5.94,3,No,4,1,Not Placed,,,0,,,
ENG0325,Female,Information Technology,2022,95.15,98,7.95,1,Yes,0,1,Placed,Infosys,Software Engineer,4.82,On-Campus,September,Ahmedabad
ENG0326,Female,Civil Engineering,2025,74.99,86.82,6.63,2,No,1,0,Not Placed,,,0,,,
ENG0327,Female,Electronics & Communication Engineering,2022,79.3,76.89,6.72,0,Yes,3,2,Placed,Qualcomm,Graduate Engineer Trainee,9.92,On-Campus,October,Mumbai
ENG0328,Male,Electrical Engineering,2022,82.86,84.19,7.53,2,No,2,1,Not Placed,,,0,,,
ENG0329,Female,Information Technology,2024,73.26,82.78,7.96,0,Yes,1,4,Placed,Cognizant,QA Engineer,6.58,Off-Campus,December,Noida
ENG0330,Male,Computer Science & Engineering,2023,84.64,80.22,7.31,0,No,4,2,Placed,TCS,QA Engineer,6.85,Off-Campus,December,Noida
ENG0331,Female,Mechanical Engineering,2024,94.9,97.25,8.46,0,Yes,2,3,Placed,Tata Motors,Graduate Engineer Trainee,10.99,Pool Campus,January,Kolkata
ENG0332,Male,Electronics & Communication Engineering,2023,78.08,73.86,6.31,1,No,4,0,Not Placed,,,0,,,
ENG0333,Female,Electronics & Communication Engineering,2025,85.16,80.53,6.78,1,Yes,1,3,Placed,Wipro,Data Analyst,6.28,Pool Campus,August,Delhi NCR
ENG0334,Female,Chemical Engineering,2021,60,59.41,5.16,1,No,0,0,Not Placed,,,0,,,
ENG0335,Male,Chemical Engineering,2023,81.69,83.66,6.95,1,No,3,0,Not Placed,,,0,,,
ENG0336,Male,Civil Engineering,2024,79.5,87.73,8.06,0,Yes,2,0,Placed,Wipro,DevOps Engineer,6.81,Off-Campus,August,Coimbatore
ENG0337,Male,Computer Science & Engineering,2025,75.45,75.3,6.43,0,No,1,1,Not Placed,,,0,,,
ENG0338,Female,Electrical Engineering,2023,90.65,79.09,7.64,0,Yes,5,3,Placed,L&T,Electrical Engineer,7.82,On-Campus,January,Pune
ENG0339,Male,Civil Engineering,2024,79.39,71.96,6.39,2,No,4,1,Not Placed,,,0,,,
ENG0340,Female,Electronics & Communication Engineering,2021,80.58,83.2,7.33,1,No,0,1,Not Placed,,,0,,,
ENG0341,Male,Computer Science & Engineering,2022,78.98,92.15,9.42,0,Yes,3,2,Placed,Cognizant,DevOps Engineer,7.64,On-Campus,February,Bengaluru
ENG0342,Female,Civil Engineering,2021,66.67,72.76,6.32,2,No,3,1,Not Placed,,,0,,,
ENG0343,Female,Electronics & Communication Engineering,2024,72.94,72,5.73,0,No,2,0,Not Placed,,,0,,,
ENG0344,Male,Electrical Engineering,2022,89.69,92.63,8.42,0,Yes,6,0,Placed,ABB,Electrical Engineer,6.29,On-Campus,February,Bengaluru
ENG0345,Female,Chemical Engineering,2024,65.12,67.16,6.62,2,No,2,2,Not Placed,,,0,,,
ENG0346,Female,Electrical Engineering,2021,75.87,74.25,6.91,0,Yes,2,0,Not Placed,,,0,,,
ENG0347,Female,Electronics & Communication Engineering,2025,78.8,72.39,6.77,1,No,2,2,Placed,Infosys,QA Engineer,4.8,Pool Campus,August,Coimbatore
ENG0348,Male,Information Technology,2025,95.95,98,8.01,1,Yes,1,1,Placed,Infosys,Software Engineer,6.13,On-Campus,November,Hyderabad
ENG0349,Male,Electronics & Communication Engineering,2021,88.15,68.34,7.41,0,Yes,3,1,Placed,Mu Sigma,Data Analyst,10,On-Campus,November,Mumbai
ENG0350,Male,Computer Science & Engineering,2021,77.54,83.74,7.23,0,No,3,0,Placed,Microsoft,DevOps Engineer,18.66,Off-Campus,September,Kolkata
ENG0351,Male,Civil Engineering,2021,92.44,86.08,7.64,0,Yes,2,2,Placed,Tata Projects,Civil Engineer,8.13,On-Campus,October,Delhi NCR
ENG0352,Male,Civil Engineering,2025,76.08,74.18,7,0,Yes,1,0,Placed,Shapoorji Pallonji,Civil Engineer,12.14,Pool Campus,November,Pune
ENG0353,Male,Information Technology,2022,90.07,98,8.22,0,Yes,2,0,Placed,Accenture,QA Engineer,7.14,On-Campus,September,Coimbatore
ENG0354,Male,Information Technology,2023,71.13,68.35,6.34,1,No,3,0,Placed,Wipro,Data Analyst,5.69,On-Campus,November,Hyderabad
ENG0355,Male,Civil Engineering,2023,90.59,83.18,6.74,1,No,1,1,Not Placed,,,0,,,
ENG0356,Male,Computer Science & Engineering,2024,78.75,78.15,7.5,0,No,5,3,Placed,Wipro,Data Analyst,7.17,Off-Campus,October,Kolkata
ENG0357,Female,Electronics & Communication Engineering,2023,73.77,78.23,7.55,0,Yes,7,1,Placed,Capgemini,QA Engineer,7.57,Off-Campus,December,Delhi NCR
ENG0358,Female,Electronics & Communication Engineering,2023,80.26,77.1,7,1,No,2,0,Not Placed,,,0,,,
ENG0359,Male,Mechanical Engineering,2025,84.22,72.15,6.73,0,No,1,0,Not Placed,,,0,,,
ENG0360,Male,Computer Science & Engineering,2022,78.04,72.47,6.83,0,No,4,2,Placed,PhonePe,Data Engineer,11.48,On-Campus,November,Noida
ENG0361,Female,Mechanical Engineering,2025,86.43,93.79,9.09,0,Yes,6,5,Placed,Bosch,Graduate Engineer Trainee,9.93,Off-Campus,February,Ahmedabad
ENG0362,Male,Electronics & Communication Engineering,2021,77.34,78.53,6.73,3,No,2,1,Not Placed,,,0,,,
ENG0363,Male,Electrical Engineering,2023,86.96,88.38,7.8,0,Yes,2,2,Placed,BHEL,Electrical Engineer,9.27,Off-Campus,October,Noida
ENG0364,Male,Computer Science & Engineering,2025,85.54,82.32,6.59,1,Yes,2,2,Not Placed,,,0,,,
ENG0365,Female,Electronics & Communication Engineering,2024,81.51,76.52,6.95,1,No,1,1,Not Placed,,,0,,,
ENG0366,Male,Electronics & Communication Engineering,2024,78.47,90.59,8.58,1,Yes,1,0,Placed,Amazon,Software Engineer,23.96,On-Campus,January,Hyderabad
ENG0367,Female,Computer Science & Engineering,2022,83.21,81.09,7.25,1,Yes,5,1,Not Placed,,,0,,,
ENG0368,Female,Computer Science & Engineering,2023,86.4,81.7,7.52,0,No,2,1,Not Placed,,,0,,,
ENG0369,Male,Computer Science & Engineering,2023,98.49,98,7.88,0,Yes,3,1,Placed,Deloitte,Data Analyst,12.14,On-Campus,August,Ahmedabad
ENG0370,Female,Information Technology,2023,89.52,82.08,7.7,0,Yes,3,3,Placed,Wipro,Data Analyst,6.36,On-Campus,October,Kolkata
ENG0371,Female,Computer Science & Engineering,2023,89.81,83.19,7.58,4,Yes,2,2,Not Placed,,,0,,,
ENG0372,Male,Chemical Engineering,2022,99,94.32,9.26,0,Yes,6,4,Placed,Indian Oil,Graduate Engineer Trainee,8.52,On-Campus,January,Chennai
ENG0373,Male,Electronics & Communication Engineering,2022,86.13,84.6,9.07,0,Yes,3,1,Placed,Wipro,QA Engineer,7.13,Pool Campus,November,Ahmedabad
ENG0374,Male,Civil Engineering,2022,85.88,86.23,7.09,0,No,3,0,Placed,L&T,Civil Engineer,9.74,On-Campus,February,Delhi NCR
ENG0375,Male,Chemical Engineering,2023,87.63,98,8.24,1,No,2,1,Placed,Infosys,Data Analyst,6.26,On-Campus,December,Hyderabad
ENG0376,Male,Computer Science & Engineering,2021,73.93,77.8,8.08,0,Yes,4,3,Placed,Cognizant,Business Analyst,5.51,Off-Campus,November,Chennai
ENG0377,Female,Mechanical Engineering,2025,78.45,62.19,5.7,0,No,1,0,Not Placed,,,0,,,
ENG0378,Male,Civil Engineering,2024,77.95,80.75,7,0,No,2,2,Not Placed,,,0,,,
ENG0379,Male,Electrical Engineering,2021,87.18,85.65,7.56,0,No,0,2,Placed,Tiger Analytics,Data Analyst,13.88,On-Campus,August,Chennai
ENG0380,Female,Electronics & Communication Engineering,2024,80.61,80.76,7.49,0,Yes,2,1,Placed,Fractal,Business Analyst,12,On-Campus,August,Ahmedabad
ENG0381,Male,Electronics & Communication Engineering,2025,83.11,84.05,7.6,0,No,2,1,Placed,Schneider Electric,Civil Engineer,9.59,Off-Campus,October,Bengaluru
ENG0382,Female,Computer Science & Engineering,2022,90.7,87.82,8.36,0,No,2,0,Placed,PhonePe,Data Engineer,12.97,On-Campus,September,Ahmedabad
ENG0383,Female,Electronics & Communication Engineering,2022,88.91,86.31,8.81,0,Yes,2,0,Placed,TCS,Business Analyst,4.62,Off-Campus,November,Ahmedabad
ENG0384,Male,Chemical Engineering,2021,80.71,84.82,7.86,0,Yes,4,3,Placed,Indian Oil,Graduate Engineer Trainee,11.73,On-Campus,August,Kolkata
ENG0385,Male,Chemical Engineering,2021,76.64,73.69,7.14,0,Yes,5,1,Placed,Reliance Industries,Graduate Engineer Trainee,8.43,On-Campus,December,Kolkata
ENG0386,Female,Computer Science & Engineering,2024,91.08,81.68,6.12,1,No,0,0,Not Placed,,,0,,,
ENG0387,Female,Mechanical Engineering,2025,88.19,98,8.96,0,Yes,1,0,Placed,L&T,Mechanical Engineer,9.46,Off-Campus,October,Pune
ENG0388,Female,Information Technology,2021,69.15,66.85,6.06,0,Yes,3,2,Placed,Tiger Analytics,Business Analyst,15.16,On-Campus,September,Coimbatore
ENG0389,Male,Architecture,2024,79.49,80.32,6.44,1,No,1,0,Not Placed,,,0,,,
ENG0390,Female,Computer Science & Engineering,2021,83.32,72.02,6.35,1,No,2,3,Not Placed,,,0,,,
ENG0391,Female,Architecture,2024,88.23,86.99,7.14,0,No,0,0,Placed,L&T,Architect,8.81,On-Campus,November,Hyderabad
ENG0392,Male,Civil Engineering,2024,89.28,80.43,7.33,0,Yes,2,3,Placed,Shapoorji Pallonji,Graduate Engineer Trainee,11.69,Off-Campus,November,Kolkata
